Season,PlayerId,Team,NTC,NMC,ELC,UFA,Average Salary,Major 2034,Major 2035,Major 2036,Major 2037,Major 2038,Major 2039,Major 2040,Major 2041,Major 2042,Major 2043,Major 2044,Major 2045,Major 2046,Major 2047,Minor 2034,Minor 2035,Minor 2036,Minor 2037,Minor 2038,Minor 2039,Minor 2040,Minor 2041,Minor 2042,Minor 2043,Minor 2044,Minor 2045,Minor 2046,Minor 2047
2034/2035,177373,10,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156543,23,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,307,20,No,No,No,Yes,1530000,1530000,1530000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1530000,1530000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177378,10,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146199,14,No,No,No,Yes,2889000,2889000,2889000,2889000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2889000,2889000,2889000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,166961,8,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,386,5090,No,No,No,Yes,6990000,6990000,6990000,6990000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,389,5088,No,No,No,No,5780000,5780000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5780000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,407,0,No,No,No,Yes,6450000,6450000,6450000,6450000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6450000,6450000,6450000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161766,24,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146232,23,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,492,10,No,No,No,Yes,6130000,6130000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6130000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,515,33,No,No,No,Yes,7520000,7520000,7520000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7520000,7520000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146246,30,No,No,No,Yes,1550000,1550000,1550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,216300,216300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161779,14,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,558,5098,No,No,No,Yes,8260000,8260000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8260000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,559,20,No,No,No,Yes,9900000,10550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,562,30,No,No,No,Yes,1120000,1120000,1120000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1120000,1120000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,565,19,No,No,No,No,1080000,1080000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1080000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,598,26,No,No,No,No,1250000,1250000,1250000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146256,14,No,No,No,Yes,855000,855000,855000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,855000,855000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161787,14,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156581,32,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,676,5090,No,No,No,Yes,3661326,3661326,3661326,3661326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,677,11,No,No,No,Yes,11534400,11534400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11534400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,687,23,No,No,No,Yes,6260000,6260000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6260000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,699,12,No,No,No,Yes,7770000,9170000,7770000,6370000,6370000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9170000,7770000,6370000,6370000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,708,8,No,No,No,Yes,6860000,7685000,7685000,6035000,6035000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7685000,7685000,6035000,6035000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,711,4182,No,No,No,Yes,3290000,3290000,3290000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3290000,3290000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172209,14,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,747,17,No,No,No,Yes,4860000,4860000,4860000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4860000,4860000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,765,3,No,No,No,Yes,7248666,8300000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8300000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177406,27,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,166992,17,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156600,15,No,No,Yes,No,870000,870000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146305,28,No,No,No,No,915000,915000,915000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127610,127610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,938,19,No,No,No,Yes,6849135,6849135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,953,5098,No,No,No,Yes,2705714,2745000,2745000,2470000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2745000,2745000,2470000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,971,34,No,No,No,Yes,6300000,5355000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5355000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,979,33,No,No,No,Yes,3239166,3222000,3325000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222000,3325000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,987,18,No,No,No,Yes,3148541,3148541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3148541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156621,10,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156622,26,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62000,62000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167014,0,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1063,35,No,No,No,Yes,3900000,3900000,3900000,3900000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3900000,3900000,3900000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1079,5098,No,No,No,Yes,1550000,1550000,1550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1550000,1550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172229,34,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151427,30,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1132,25,No,No,Yes,Yes,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,157250,157250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151428,33,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167033,5090,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62000,62000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1193,5088,No,No,No,Yes,3430000,3430000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3430000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167040,34,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1272,31,No,No,No,Yes,5200000,5200000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5200000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172240,5092,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167060,34,No,No,Yes,No,780000,780000,780000,780000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,70000,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,182706,21,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1382,5088,No,No,No,Yes,915000,915000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,915000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172249,23,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146380,10,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1436,5098,No,No,No,Yes,1520000,1245000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1245000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177442,8,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,1464,4182,No,No,No,Yes,1560000,975000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167087,24,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161875,5088,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151484,26,No,No,No,Yes,2980000,2980000,2980000,2980000,2980000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172266,32,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151494,26,Yes,Yes,No,No,5140000,5140000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5140000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161885,21,No,No,Yes,No,790000,790000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172274,5092,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161890,17,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172277,33,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167100,8,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,161896,12,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,167105,0,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156690,3,No,No,No,No,1550000,1740000,1550000,1360000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,216342,216342,216342,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177460,32,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177466,19,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172307,31,No,No,Yes,No,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177478,16,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156700,8,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177493,10,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177499,19,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,182748,19,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,2119,26,No,No,No,Yes,1150000,1150000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156714,9,No,No,No,No,880000,880000,880000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156716,27,No,No,No,Yes,1530000,1530000,1530000,1530000,1530000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1530000,1530000,1530000,1530000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177520,17,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172363,5092,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151561,22,No,No,No,No,970000,970000,970000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135800,135800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172368,9,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177547,5090,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64500,64500,64500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177558,30,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,2596,15,No,No,No,Yes,3321000,3321000,3321000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3321000,3321000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,172399,8,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177577,3,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146640,33,No,No,No,No,4050000,4050000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4050000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146646,19,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,156750,5088,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,182806,35,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146653,17,No,No,No,No,825000,825000,825000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115500,115500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177595,29,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,177596,35,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,2812,26,No,No,No,Yes,1470000,1470000,1470000,1470000,1470000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146719,23,No,Yes,No,Yes,1530000,1715000,1641000,1419000,1345000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1715000,1641000,1419000,1345000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151671,23,No,No,No,No,760000,760000,760000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98475,98475,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,3110,11,No,No,No,Yes,7570000,7570000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7570000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,3140,18,No,No,No,Yes,10280000,10280000,10280000,10280000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10280000,10280000,10280000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,146730,19,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151679,34,No,No,No,No,781250,781250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,781250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,3183,18,No,No,No,Yes,6210000,6210000,6210000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6210000,6210000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151700,19,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,3655,8,No,No,No,Yes,13260000,14719998,14279998,14279998,13260000,12240002,12240002,11800002,-1,-1,-1,-1,-1,-1,-1,14719998,14279998,14279998,13260000,12240002,12240002,11800002,-1,-1,-1,-1,-1,-1,-1
